#---------------------------- KTU 1.15 I:1
142948	tḫss	!t!ḫss[	/ḫ-s-s/	vb	to remember	
142949	aṯrt	aṯrt(I)/	ảṯrt (I)	n.	back part (of the head)	
#---------------------------- KTU 1.15 III:26
142950	ndrh	ndr/	ndr	n.	vow	
142951	w	w	w	conj.	and	
142952	ilt	ilt(I)/	ỉlt (I)	n.	goddess	
142953	dxx	dxx				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:27
142954	w	w	w	conj.	and	
142955	tšu	nšʔ[	/n-š-ʔ/	vb	to raise	
142956	gh	g/	g	n.	(loud) voice	
142957	wtṣḥ	wtṣḥ				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:28
142958	ph	p(III)/;phy[	p (III);/p-h-y/	n.;vb	mouth;to see	
142959	mˤ	mˤ(I)	mʕ (I)	postpositional emph. adv.	please!	
142960	ap	ap(I);ap(II)/	ảp (I);ảp (II)	adv./conj.;n.	also;nose	
142961	krt	krt/	krt	PN	krt	
142962	ṯˤ	ṯˤ(II)/;ṯˤ(I)/	ṯʕ (II);ṯʕ (I)	n.;n.	Hero;offering	
#---------------------------- KTU 1.15 III:29
142963	u	u	ủ	conj.	or	
142964	ṯn	ṯn(I)/;ṯn(II)/;ṯn(III)/	ṯn (I);ṯn (II);ṯn (III)	num.;num./adj.;n.	two;second;crimson (cloth	
142965	ndrm	ndr/+m(I);ndr/+m(II)	ndr,-m (I);ndr,-m (II)	n.,morph.;n.,emph. or det. encl. morph.	vow,;vow,und das (ist) so!	
142966	xxxxx	xxxxx				
#---------------------------- KTU 1.15 III:30
142967	apr	!a!pr[	/p-r(-r)/	vb	to break	
142968	idtxxxxx	idtxxxxx				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:31
142969	kxxxxxxxxxxx	kxxxxxxxxxxx				DULAT: NOT FOUND
#---------------------------- KTU 1.15 IV:1
142970	š	š/	š	n.	ram	
#---------------------------- KTU 1.15 IV:2
142971	gm	g/;gm(II)	g;gm (II)	n.;adv.	(loud) voice;also	
142972	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142973	aṯth	aṯt/	ảṯt	n.	woman	
142974	k	k(I);k(III);k(II)	k (I);k (III);k (II)	prep.;Subordinating or completive functor;emph. functor	like;when;yes	
142975	yṣḥ	!y!ṣḥ[	/ṣ-ḥ/	vb	to exclaim	
#---------------------------- KTU 1.15 IV:3
142976	šmˤ	šmˤ[;šmˤ/	/š-m-ʕ/;šmʕ	vb;n.	to hear;auditor	
142977	lmṯt	lmṯt				DULAT: NOT FOUND
142978	ḥry	ḥr(I)/+y(I);ḥr(I)/+y(II)	ḥr (I),-y (I);ḥr (I),-y (II)	n.,prep.;n.,postp. functor	intestine(s),my;intestine(s),yes	
#---------------------------- KTU 1.15 IV:4
142979	ṭbḫ	ṭbḫ[	/ṭ-b-ḫ/	vb	to sacrifice	
142980	šmn	šmn(I)/	šmn (I)	n.	oil	
142981	mrik	mru(I)/	mrủ (I)	adj. or n.	fattened	
#---------------------------- KTU 1.15 IV:5
142982	ptḥ	ptḥ[;ptḥ/	/p-t-ḥ/;ptḥ	vb;n.	to open;entrance	
142983	rḥbt	rḥbt/	rḥbt	n.	amphora	
142984	yn	yn/	yn	n.	wine	
#---------------------------- KTU 1.15 IV:6
142985	ṣḥ	ṣḥ[	/ṣ-ḥ/	vb	to exclaim	
142986	šbˤm	šbˤm/	šbʕm	n. num.	seventy	
142987	ṯry	ṯr(I)/	ṯr (I)	n.	bull	
#---------------------------- KTU 1.15 IV:7
142988	ṯmnym	ṯmnym/	ṯmnym	num.	eighty	
142989	ẓbyy	ẓby/	ẓby	n.	gazelle	
#---------------------------- KTU 1.15 IV:8
142990	ṯr	ṯr(I)/	ṯr (I)	n.	bull	
142991	ḫbr	ḫbr				DULAT: NOT FOUND
142992	rbt	rbt/;rbt(I)/;rb(I)/	rb(b)t;rbt (I);rb (I)	num.;n.;adj.	ten thousand;Lady;great	
#---------------------------- KTU 1.15 IV:9
142993	ḫbr	ḫbr				DULAT: NOT FOUND
142994	ṯrrt	ṯrrt/	ṯrrt	adj.	powerful	
#---------------------------- KTU 1.15 IV:10
142995	w	w	w	conj.	and	
142996	ˤbd	ˤbd(I)/	ʕbd (I)	n.	servant	
142997	šxxm	šxxm				DULAT: NOT FOUND
#---------------------------- KTU 1.15 IV:11
142998	w	w	w	conj.	and	
142999	ˤšrt	ˤšrt(II)/;ˤšr(I)/	ʕšrt (II);ʕšr(t) (I)	n.;n.	group of ten;banquet	
143000	xxxxqm	xxxxqm				DULAT: NOT FOUND
#---------------------------- KTU 1.15 IV:12
143001	idbx	idbx				DULAT: NOT FOUND
143002	xxtxxxx	xxtxxxx				DULAT: NOT FOUND
143003	t	ˤl(I);k(I);lqḥ[	ʕl (I);k (I);/l-q-ḥ/	prep.;prep.;vb	upon;like;to get hold of	
#---------------------------- KTU 1.15 IV:13
143004	lḥn	lḥn				DULAT: NOT FOUND
143005	šqym	šqy/;šq/	šqy;šq	n.;n.	cupbearer;thigh	
143006	mdxx	mdxx				DULAT: NOT FOUND
#---------------------------- KTU 1.15 IV:14
143007	tšmˤ	!t!šmˤ[	/š-m-ʕ/	vb	to hear	
143008	mṯt	mṯt/	mṯt	n.	damsel	
143009	ḥry	ḥr(I)/+y(I);ḥr(I)/+y(II)	ḥr (I),-y (I);ḥr (I),-y (II)	n.,prep.;n.,postp. functor	intestine(s),my;intestine(s),yes	
#---------------------------- KTU 1.15 IV:15
143010	tṭbḫ	!t!ṭbḫ[	/ṭ-b-ḫ/	vb	to sacrifice	
143011	šmn	šmn(I)/	šmn (I)	n.	oil	
143012	mrih	mru(I)/	mrủ (I)	adj. or n.	fattened	
#---------------------------- KTU 1.15 IV:16
143013	tptḥ	!t!ptḥ[	/p-t-ḥ/	vb	to open	
143014	rḥbt	rḥbt/	rḥbt	n.	amphora	
143015	yn	yn/	yn	n.	wine	
#---------------------------- KTU 1.15 IV:17
143016	ˤlh	ˤl(I)	ʕl (I)	prep.	upon	
143017	ṯrh	ṯr(I)/	ṯr (I)	n.	bull	
143018	tšˤrb	!t!]š]ˤrb(I)[	/ʕ-r-b/ (I)	vb	to enter	
#---------------------------- KTU 1.15 IV:18
143019	ˤlh	ˤl(I)	ʕl (I)	prep.	upon	
143020	tšˤrb	!t!]š]ˤrb(I)[	/ʕ-r-b/ (I)	vb	to enter	
143021	ẓbyh	ẓby/	ẓby	n.	gazelle	
#---------------------------- KTU 1.15 IV:19
143022	ṯr	ṯr(I)/	ṯr (I)	n.	bull	
143023	ḫbr	ḫbr				DULAT: NOT FOUND
143024	rbt	rbt/;rbt(I)/;rb(I)/	rb(b)t;rbt (I);rb (I)	num.;n.;adj.	ten thousand;Lady;great	
#---------------------------- KTU 1.15 IV:20
143025	ḫbr	ḫbr				DULAT: NOT FOUND
143026	ṯrrt	ṯrrt/	ṯrrt	adj.	powerful	
#---------------------------- KTU 1.15 IV:21
143027	bt	bt(II)/;bt(I)/;bt(III)/	bt (II);bt (I);bt (III)	n.;n.;n.	house;daughter;length	
143028	krt	krt/	krt	PN	krt	
143029	tbun	!t!bʔ[	/b-ʔ/	vb	to enter	
#---------------------------- KTU 1.15 IV:22
143030	lm	l(I)	l (I)	prep.	to	
143031	mṯb	mṯb/	mṯb	n.	residence	
143032	ˤwrt	ˤwr/	ʕwr	n.	blind man	
#---------------------------- KTU 1.15 IV:23
143033	w	w	w	conj.	and	
143034	lḫm	lḫm				DULAT: NOT FOUND
143035	mr	mr(I)/;mr(IV)/;mr(II)/	mr (I);mr (IV);mr (II)	n.;adj.;adj.	myrrh;valiant;bitter	
143036	tqdm	!t!qdm[	/q-d-m/	vb	to proceed	
#---------------------------- KTU 1.15 IV:24
143037	yd	yd(I)/	yd (I)	n.	hand	
143038	b	b	b	prep.	in	
143039	ṣˤ	ṣˤ(I)/	ṣʕ (I)	n.	plate / wide bowl / platter	
143040	tšlḥ	!t!šlḥ(I)[	/š-l-ḥ/ (I)	vb	to stretch	
#---------------------------- KTU 1.15 IV:25
143041	ḥrb	ḥrb/	ḥrb	n.	knife	
143042	b	b	b	prep.	in	
143043	bšr	bšr/;bšr[	bšr;/b-š-r/	n.;vb	flesh;to impart (good) news	
143044	tštn	!t!št[	/š-t/	vb	to place	
#---------------------------- KTU 1.15 IV:26
143045	wtˤn	wtˤn				DULAT: NOT FOUND
143046	mṯt	mṯt/	mṯt	n.	damsel	
143047	ḥry	ḥr(I)/+y(I);ḥr(I)/+y(II)	ḥr (I),-y (I);ḥr (I),-y (II)	n.,prep.;n.,postp. functor	intestine(s),my;intestine(s),yes	
#---------------------------- KTU 1.15 IV:27
143048	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
143049	lḥm	lḥm(I)[;lḥm/;lḥ(I)/	/l-ḥ-m/ (I);lḥm;lḥ (I)	vb;n.;n.	to eat;grain;cheek	
143050	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
143051	šty	šty[	/š-t-y/	vb	to drink	
143052	ṣḥtkm	ṣḥ[	/ṣ-ḥ/	vb	to exclaim	
#---------------------------- KTU 1.15 IV:28
143053	w	w	w	conj.	and	
143054	dbḥ	dbḥ[;dbḥ/	/d-b-ḥ/;dbḥ	vb;n.	to sacrifice;sacrifice	
143055	lkrt	lkrt				DULAT: NOT FOUND
143056	bˤlkm	bˤl(II)/	bʕl (II)	n./DN	Baʿlu	
#---------------------------- KTU 1.15 IV:29
143057	xxxxxxxxx	xxxxxxxxx				
#---------------------------- KTU 1.15 IV:30
143058	xxxxxxxxxxxxb	xxxxxxxxxxxxb				DULAT: NOT FOUND
#---------------------------- KTU 1.15 V:1
143059	tṭbḫ	!t!ṭbḫ[	/ṭ-b-ḫ/	vb	to sacrifice	
143060	šmn	šmn(I)/	šmn (I)	n.	oil	
143061	mrih	mru(I)/	mrủ (I)	adj. or n.	fattened	
#---------------------------- KTU 1.15 V:2
143062	tptḥ	!t!ptḥ[	/p-t-ḥ/	vb	to open	
143063	rḥbt	rḥbt/	rḥbt	n.	amphora	
143064	yn	yn/	yn	n.	wine	
