#---------------------------- KTU 1.84 1
150309	t	t[;t[;t[	/l-q-ḥ/;/p-r-ʕ/;/y-b-m/	vb;vb;vb	to get hold of, take, grasp; to receive, accept, take (away); to collect, hold; to choose, opt for something;to wash;to proclaim oneself a nubile widow	ambiguous DULAT candidates: 17 (showing top 3)
150479	mšr	mšr(I)/;mšr(II)/	mšr (I);mšr (II)	n.;n.	justice, justification;song	
150480	mšr	mšr(I)/;mšr(II)/	mšr (I);mšr (II)	n.;n.	justice, justification;song	
#---------------------------- KTU 1.84 39
150481	y	y;y[;y[	y;/l-q-ẓ/;/m-ġ-y/	prep. functor;vb;vb	oh!;to pick up;to come, arrive	ambiguous DULAT candidates: 23 (showing top 3)
#---------------------------- KTU 1.84 40
150482	npy	npy/	npy	n.	purification	
150483	nqmd	nqmd				DULAT: NOT FOUND
#---------------------------- KTU 1.84 41
150484	x	x				
150485	pḫr	pḫr(I)/;pḫr(II)/	pḫr (I);pḫr (II)	n.;n.	assembly;potter	
#---------------------------- KTU 1.84 42
150486						
#---------------------------- KTU 1.84 43
150487						
#---------------------------- KTU 1.84 44
150488						
#---------------------------- KTU 1.84 45
150489						
#---------------------------- KTU 1.84 46
150490						
#---------------------------- KTU 1.84 47
150491	il	il(I)/	ỉl (I)	n.	god	
150492	tʿḏr	tˤḏr/	tʕḏr	n.	help, protection	
150493	bʿl	bˤl[;bˤl(I)/;bˤl(II)/	/b-ʕ-l/;bʕl (I);bʕl (II)	vb;n.;n., DN	to make, manufacture; to work;labourer, unskilled labourer;lord; owner of (or resident in) a place, owner of thing, boss of a place or thing; person of superior rank	
#---------------------------- KTU 1.84 48
150494						
#---------------------------- KTU 1.84 49
150495						
